date,open,high,low,close,volume
1980-12-12,0.0997,0.1001,0.0997,0.0997,469033600
1980-12-15,0.0949,0.0949,0.0945,0.0945,175884800
1980-12-16,0.0880,0.0880,0.0876,0.0876,105728000
1980-12-17,0.0897,0.0902,0.0897,0.0897,86441600
1980-12-18,0.0923,0.0928,0.0923,0.0923,73449600
1980-12-19,0.0980,0.0984,0.0980,0.0980,48630400
1980-12-22,0.1027,0.1032,0.1027,0.1027,37363200
1980-12-23,0.1071,0.1075,0.1071,0.1071,46950400
1980-12-24,0.1127,0.1132,0.1127,0.1127,48003200
1980-12-26,0.1231,0.1235,0.1231,0.1231,55574400
1980-12-29,0.1248,0.1253,0.1248,0.1248,93161600
1980-12-30,0.1222,0.1222,0.1218,0.1218,68880000
1980-12-31,0.1188,0.1188,0.1184,0.1184,35750400
1981-01-02,0.1196,0.1205,0.1196,0.1196,21660800
1981-01-05,0.1175,0.1175,0.1170,0.1170,35728000
1981-01-06,0.1122,0.1122,0.1118,0.1118,45158400
1981-01-07,0.1075,0.1075,0.1071,0.1071,55686400
1981-01-08,0.1053,0.1053,0.1049,0.1049,39827200
1981-01-09,0.1106,0.1110,0.1106,0.1106,21504000
1981-01-12,0.1106,0.1106,0.1096,0.1096,23699200
1981-01-13,0.1062,0.1062,0.1058,0.1058,23049600
1981-01-14,0.1062,0.1066,0.1062,0.1062,14291200
1981-01-15,0.1084,0.1092,0.1084,0.1084,14067200
1981-01-16,0.1079,0.1079,0.1075,0.1075,13395200
1981-01-19,0.1140,0.1144,0.1140,0.1140,41574400
1981-01-20,0.1110,0.1110,0.1106,0.1106,30083200
1981-01-21,0.1127,0.1136,0.1127,0.1127,15904000
1981-01-22,0.1140,0.1149,0.1140,0.1140,35548800
1981-01-23,0.1140,0.1144,0.1136,0.1136,11222400
1981-01-26,0.1122,0.1122,0.1118,0.1118,24640000
1981-01-27,0.1118,0.1118,0.1110,0.1110,23699200
1981-01-28,0.1079,0.1079,0.1075,0.1075,28156800
1981-01-29,0.1040,0.1040,0.1036,0.1036,43904000
1981-01-30,0.0988,0.0988,0.0980,0.0980,46188800
1981-02-02,0.0928,0.0928,0.0923,0.0923,23766400
1981-02-03,0.0958,0.0962,0.0958,0.0958,19152000
1981-02-04,0.0992,0.0997,0.0992,0.0992,27865600
1981-02-05,0.0992,0.1001,0.0992,0.0992,7929600
1981-02-06,0.0997,0.1001,0.0997,0.0997,13865600
1981-02-09,0.0954,0.0954,0.0945,0.0945,16755200
1981-02-10,0.0945,0.0949,0.0945,0.0945,18345600
1981-02-11,0.0919,0.0919,0.0914,0.0914,13843200
1981-02-12,0.0910,0.0910,0.0906,0.0906,14560000
1981-02-13,0.0893,0.0893,0.0884,0.0884,11155200
1981-02-17,0.0906,0.0910,0.0906,0.0906,12275200
1981-02-18,0.0945,0.0954,0.0945,0.0945,19241600
1981-02-19,0.0893,0.0893,0.0889,0.0889,22310400
1981-02-20,0.0845,0.0845,0.0841,0.0841,24371200
1981-02-23,0.0854,0.0858,0.0854,0.0854,14112000
1981-02-24,0.0832,0.0832,0.0824,0.0824,16979200
1981-02-25,0.0876,0.0880,0.0876,0.0876,19488000
1981-02-26,0.0889,0.0893,0.0889,0.0889,10841600
1981-02-27,0.0919,0.0928,0.0919,0.0919,14761600
1981-03-02,0.0923,0.0928,0.0923,0.0923,11760000
1981-03-03,0.0914,0.0914,0.0910,0.0910,16172800
1981-03-04,0.0906,0.0906,0.0902,0.0902,13708800
1981-03-05,0.0902,0.0902,0.0897,0.0897,5376000
1981-03-06,0.0897,0.0897,0.0889,0.0889,11603200
1981-03-09,0.0824,0.0824,0.0819,0.0819,15321600
1981-03-10,0.0785,0.0785,0.0780,0.0780,28380800
1981-03-11,0.0758,0.0758,0.0750,0.0750,29859200
1981-03-12,0.0780,0.0785,0.0780,0.0780,59248000
1981-03-13,0.0776,0.0776,0.0772,0.0772,231302400
1981-03-16,0.0802,0.0810,0.0802,0.0802,37228800
1981-03-17,0.0841,0.0850,0.0841,0.0841,43747200
1981-03-18,0.0893,0.0902,0.0893,0.0893,36937600
1981-03-19,0.0889,0.0889,0.0884,0.0884,37811200
1981-03-20,0.0893,0.0902,0.0893,0.0893,14604800
1981-03-23,0.0928,0.0936,0.0928,0.0928,22019200
1981-03-24,0.0928,0.0928,0.0923,0.0923,28156800
1981-03-25,0.0914,0.0914,0.0906,0.0906,7056000
1981-03-26,0.0893,0.0893,0.0889,0.0889,12275200
1981-03-27,0.0863,0.0863,0.0858,0.0858,12252800
1981-03-30,0.0858,0.0867,0.0858,0.0858,9900800
1981-03-31,0.0858,0.0858,0.0850,0.0850,15993600
1981-04-01,0.0845,0.0845,0.0841,0.0841,34070400
1981-04-02,0.0914,0.0919,0.0914,0.0914,31404800
1981-04-03,0.0919,0.0923,0.0919,0.0919,16486400
1981-04-06,0.0906,0.0906,0.0902,0.0902,22803200
1981-04-07,0.0897,0.0897,0.0893,0.0893,10684800
1981-04-08,0.0936,0.0945,0.0936,0.0936,21952000
1981-04-09,0.0954,0.0958,0.0954,0.0954,12499200
1981-04-10,0.0967,0.0971,0.0967,0.0967,33465600
1981-04-13,0.0967,0.0971,0.0967,0.0967,16060800
1981-04-14,0.0967,0.0971,0.0967,0.0967,6652800
1981-04-15,0.0923,0.0923,0.0919,0.0919,34048000
1981-04-16,0.0871,0.0871,0.0867,0.0867,23878400
1981-04-20,0.0893,0.0897,0.0893,0.0893,35347200
1981-04-21,0.0954,0.0958,0.0954,0.0954,28537600
1981-04-22,0.0988,0.0992,0.0988,0.0988,18995200
1981-04-23,0.1014,0.1018,0.1014,0.1014,58016000
1981-04-24,0.1014,0.1014,0.1006,0.1006,35056000
1981-04-27,0.1001,0.1001,0.0997,0.0997,38528000
1981-04-28,0.0984,0.0984,0.0980,0.0980,32188800
1981-04-29,0.0971,0.0971,0.0967,0.0967,13641600
1981-04-30,0.0984,0.0992,0.0984,0.0984,12611200
1981-05-01,0.0984,0.0992,0.0984,0.0984,16553600
1981-05-04,0.0984,0.0984,0.0980,0.0980,14448000
1981-05-05,0.0980,0.0980,0.0975,0.0975,17539200
1981-05-06,0.0954,0.0954,0.0949,0.0949,18950400
1981-05-07,0.0962,0.0967,0.0962,0.0962,9363200
1981-05-08,0.0971,0.0975,0.0971,0.0971,7907200
1981-05-11,0.0954,0.0954,0.0949,0.0949,11939200
1981-05-12,0.0949,0.0962,0.0949,0.0949,4256000
1981-05-13,0.0949,0.0958,0.0945,0.0945,4905600
1981-05-14,0.0941,0.0941,0.0932,0.0932,4928000
1981-05-15,0.0954,0.0967,0.0954,0.0954,4905600
1981-05-18,0.0971,0.0980,0.0971,0.0971,4166400
1981-05-19,0.0958,0.0958,0.0954,0.0954,25424000
1981-05-20,0.0984,0.0992,0.0984,0.0984,13283200
1981-05-21,0.1040,0.1045,0.1040,0.1040,32211200
1981-05-22,0.1088,0.1096,0.1088,0.1088,31427200
1981-05-26,0.1088,0.1088,0.1084,0.1084,85344000
1981-05-27,0.1144,0.1149,0.1144,0.1144,149497600
1981-05-28,0.1144,0.1149,0.1144,0.1144,73987200
1981-05-29,0.1149,0.1153,0.1149,0.1149,59382400
1981-06-01,0.1149,0.1153,0.1149,0.1149,51251200
1981-06-02,0.1096,0.1096,0.1092,0.1092,40432000
1981-06-03,0.1092,0.1101,0.1092,0.1092,39446400
1981-06-04,0.1114,0.1118,0.1114,0.1114,56067200
1981-06-05,0.1101,0.1101,0.1096,0.1096,57680000
1981-06-08,0.1062,0.1062,0.1058,0.1058,93497600
1981-06-09,0.1079,0.1084,0.1079,0.1079,119593600
1981-06-10,0.1092,0.1106,0.1092,0.1092,25222400
1981-06-11,0.1140,0.1144,0.1140,0.1140,38976000
1981-06-12,0.1132,0.1132,0.1127,0.1127,25804800
1981-06-15,0.1127,0.1127,0.1122,0.1122,143763200
1981-06-16,0.1106,0.1106,0.1101,0.1101,37251200
1981-06-17,0.1088,0.1088,0.1084,0.1084,27574400
1981-06-18,0.1084,0.1088,0.1079,0.1079,23049600
1981-06-19,0.1053,0.1053,0.1049,0.1049,27507200
1981-06-22,0.1014,0.1014,0.1010,0.1010,10841600
1981-06-23,0.1027,0.1036,0.1027,0.1027,15030400
1981-06-24,0.1010,0.1010,0.1001,0.1001,23027200
1981-06-25,0.1023,0.1027,0.1023,0.1023,24259200
1981-06-26,0.1018,0.1018,0.1010,0.1010,23788800
1981-06-29,0.0984,0.0984,0.0975,0.0975,10595200
1981-06-30,0.0906,0.0906,0.0902,0.0902,35907200
1981-07-01,0.0897,0.0897,0.0893,0.0893,170464000
1981-07-02,0.0893,0.0897,0.0893,0.0893,30284800
1981-07-06,0.0871,0.0871,0.0863,0.0863,16531200
1981-07-07,0.0871,0.0880,0.0871,0.0871,15836800
1981-07-08,0.0906,0.0910,0.0906,0.0906,16620800
1981-07-09,0.0841,0.0841,0.0836,0.0836,32883200
1981-07-10,0.0776,0.0776,0.0772,0.0772,55171200
1981-07-13,0.0789,0.0793,0.0789,0.0789,45740800
1981-07-14,0.0824,0.0832,0.0824,0.0824,19779200
1981-07-15,0.0845,0.0850,0.0845,0.0845,10953600
1981-07-16,0.0867,0.0876,0.0867,0.0867,15232000
1981-07-17,0.0897,0.0902,0.0897,0.0897,19824000
1981-07-20,0.0841,0.0841,0.0836,0.0836,23654400
1981-07-21,0.0836,0.0836,0.0832,0.0832,31942400
1981-07-22,0.0793,0.0793,0.0785,0.0785,22668800
1981-07-23,0.0806,0.0810,0.0806,0.0806,34451200
1981-07-24,0.0832,0.0836,0.0832,0.0832,28851200
1981-07-27,0.0867,0.0871,0.0867,0.0867,17337600
1981-07-28,0.0841,0.0841,0.0836,0.0836,22848000
1981-07-29,0.0828,0.0828,0.0824,0.0824,15500800
1981-07-30,0.0854,0.0863,0.0854,0.0854,9900800
1981-07-31,0.0867,0.0871,0.0867,0.0867,10953600
1981-08-03,0.0867,0.0867,0.0858,0.0858,12432000
1981-08-04,0.0871,0.0876,0.0871,0.0871,31673600
1981-08-05,0.0897,0.0902,0.0897,0.0897,17494400
1981-08-06,0.0880,0.0880,0.0876,0.0876,10528000
1981-08-07,0.0876,0.0880,0.0876,0.0876,9206400
1981-08-11,0.0858,0.0858,0.0850,0.0850,71456000
1981-08-12,0.0836,0.0836,0.0832,0.0832,26275200
1981-08-13,0.0810,0.0810,0.0806,0.0806,27484800
1981-08-14,0.0802,0.0802,0.0793,0.0793,24192000
1981-08-17,0.0776,0.0776,0.0767,0.0767,18905600
1981-08-18,0.0758,0.0758,0.0750,0.0750,17001600
1981-08-19,0.0750,0.0750,0.0741,0.0741,20675200
1981-08-20,0.0750,0.0754,0.0750,0.0750,17113600
1981-08-21,0.0707,0.0707,0.0698,0.0698,41910400
1981-08-24,0.0659,0.0659,0.0654,0.0654,23072000
1981-08-25,0.0672,0.0676,0.0672,0.0672,40700800
1981-08-26,0.0663,0.0663,0.0659,0.0659,33600000
1981-08-27,0.0663,0.0668,0.0663,0.0663,25916800
1981-08-28,0.0698,0.0702,0.0698,0.0698,38035200
1981-08-31,0.0698,0.0702,0.0698,0.0698,40947200
1981-09-01,0.0741,0.0746,0.0741,0.0741,37027200
1981-09-02,0.0754,0.0758,0.0754,0.0754,19376000
1981-09-03,0.0724,0.0724,0.0715,0.0715,37475200
1981-09-04,0.0711,0.0711,0.0707,0.0707,15254400
1981-09-08,0.0689,0.0689,0.0685,0.0685,25446400
