date,open,high,low,close,volume
1999-01-22,0.4019,0.4486,0.3565,0.3768,271468800
1999-01-25,0.4067,0.4210,0.3768,0.4162,51048000
1999-01-26,0.4210,0.4294,0.3780,0.3839,34320000
1999-01-27,0.3852,0.3948,0.3636,0.3827,24436800
1999-01-28,0.3827,0.3852,0.3791,0.3816,22752000
1999-01-29,0.3816,0.3827,0.3636,0.3636,24403200
1999-02-01,0.3636,0.3732,0.3636,0.3709,15470400
1999-02-02,0.3636,0.3732,0.3313,0.3422,26409600
1999-02-03,0.3374,0.3540,0.3349,0.3492,7512000
1999-02-04,0.3540,0.3780,0.3492,0.3684,18192000
1999-02-05,0.3743,0.3827,0.3647,0.3791,13684800
1999-02-08,0.3816,0.3827,0.3661,0.3661,15408000
1999-02-09,0.3732,0.3757,0.3469,0.3517,8697600
1999-02-10,0.3517,0.3613,0.3422,0.3481,14822400
1999-02-11,0.3492,0.3923,0.3492,0.3780,13224000
1999-02-12,0.3827,0.4019,0.3827,0.3996,10972800
1999-02-16,0.4067,0.4235,0.3613,0.4019,21100800
1999-02-17,0.3923,0.3971,0.3732,0.3804,6772800
1999-02-18,0.3923,0.3971,0.3757,0.3864,7070400
1999-02-19,0.3827,0.4067,0.3780,0.3996,7536000
1999-02-22,0.4067,0.4114,0.3804,0.4019,20524800
1999-02-23,0.4114,0.4294,0.3875,0.4210,13809600
1999-02-24,0.4832,0.5023,0.4438,0.4545,61276800
1999-02-25,0.4736,0.4880,0.4331,0.4401,14913600
1999-02-26,0.4449,0.4593,0.4162,0.4199,17260800
1999-03-01,0.4306,0.4401,0.4019,0.4222,9216000
1999-03-02,0.4210,0.4235,0.4114,0.4187,5524800
1999-03-03,0.4210,0.4210,0.3875,0.3900,6139200
1999-03-04,0.4091,0.4114,0.3780,0.3816,5736000
1999-03-05,0.3852,0.4044,0.3852,0.4030,7876800
1999-03-08,0.3923,0.4210,0.3852,0.4091,7588800
1999-03-09,0.4078,0.4283,0.4078,0.4222,14318400
1999-03-10,0.4283,0.4283,0.4091,0.4151,23534400
1999-03-11,0.4078,0.4151,0.3971,0.3971,5428800
1999-03-12,0.3996,0.3996,0.3827,0.3900,9076800
1999-03-15,0.3996,0.4114,0.3971,0.4067,10881600
1999-03-16,0.4091,0.4139,0.3900,0.3935,7915200
1999-03-17,0.3971,0.4044,0.3864,0.3959,5136000
1999-03-18,0.3971,0.4067,0.3875,0.4007,4632000
1999-03-19,0.3996,0.4139,0.3996,0.4019,10531200
1999-03-22,0.4103,0.4114,0.3900,0.3900,3667200
1999-03-23,0.3923,0.3923,0.3588,0.3661,16396800
1999-03-24,0.3636,0.3661,0.3492,0.3636,6086400
1999-03-25,0.3624,0.3827,0.3613,0.3684,4032000
1999-03-26,0.3732,0.4019,0.3732,0.4007,8827200
1999-03-29,0.4126,0.4222,0.4055,0.4126,6595200
1999-03-30,0.4139,0.4174,0.3757,0.3780,6950400
1999-03-31,0.3900,0.4091,0.3720,0.4044,15360000
1999-04-01,0.4044,0.4067,0.3852,0.3923,3043200
1999-04-05,0.3875,0.3971,0.3780,0.3804,9864000
1999-04-06,0.3839,0.3852,0.3636,0.3709,6969600
1999-04-07,0.3732,0.4044,0.3709,0.4019,8928000
1999-04-08,0.4044,0.4210,0.3996,0.4091,13012800
1999-04-09,0.4114,0.4114,0.3996,0.4019,4862400
1999-04-12,0.3971,0.3971,0.3780,0.3852,3331200
